from,to,value,id
N,0",Publishing,2,1704098271-0
Publishing,40-50 days,2,1704098271-1
40-50 days,undefined,2,1704098271-2
undefined,10% - 25%,2,1704098271-3
GB,Music,1,1704414322-0
Music,30-50 days,1,1704414322-1
30-50 days,canceled,1,1704414322-2
canceled,> 200%,1,1704414322-3
N,0",Music,1,1704417646-0
Music,10-20 days,1,1704417646-1
10-20 days,canceled,1,1704417646-2
canceled,< 10%,1,1704417646-3
SE,Publishing,1,170447901-0
Publishing,> 50 days,1,170447901-1
> 50 days,failed,1,170447901-2
failed,25% - 50%,1,170447901-3
AT,Technology,2,1704654801-0
Technology,20-30 days,2,1704654801-1
20-30 days,canceled,2,1704654801-2
canceled,10% - 25%,2,1704654801-3
NL,Food,1,1704731818-0
Food,30-50 days,1,1704731818-1
30-50 days,successful,1,1704731818-2
successful,100% - 120%,1,1704731818-3
CA,Design,1,1704813945-0
Design,20-30 days,1,1704813945-1
20-30 days,suspended,1,1704813945-2
suspended,25% - 50%,1,1704813945-3
IT,Games,1,170513886-0
Games,> 50 days,1,170513886-1
> 50 days,failed,1,170513886-2
failed,10% - 25%,1,170513886-3
AU,Fashion,1,1705242526-0
Fashion,10-20 days,1,1705242526-1
10-20 days,canceled,1,1705242526-2
canceled,10% - 25%,1,1705242526-3
ES,Comics,1,1706761919-0
Comics,30-50 days,1,1706761919-1
30-50 days,successful,1,1706761919-2
successful,> 200%,1,1706761919-3
US,Publishing,1,170692139-0
Publishing,30-50 days,1,170692139-1
30-50 days,live,1,170692139-2
live,100% - 120%,1,170692139-3
HK,Design,4,1707451211-0
Design,30-50 days,4,1707451211-1
30-50 days,failed,4,1707451211-2
failed,25% - 50%,4,1707451211-3
NO,Fashion,2,1707900878-0
Fashion,40-50 days,2,1707900878-1
40-50 days,failed,2,1707900878-2
failed,< 10%,2,1707900878-3
SE,Design,4,1707949912-0
Design,> 50 days,4,1707949912-1
> 50 days,failed,4,1707949912-2
failed,< 10%,4,1707949912-3
CH,Comics,1,1708365498-0
Comics,20-30 days,1,1708365498-1
20-30 days,failed,1,1708365498-2
failed,< 10%,1,1708365498-3
CA,Music,1,1708744506-0
Music,20-30 days,1,1708744506-1
20-30 days,canceled,1,1708744506-2
canceled,10% - 25%,1,1708744506-3
ES,Theater,1,1709144481-0
Theater,30-50 days,1,1709144481-1
30-50 days,failed,1,1709144481-2
failed,10% - 25%,1,1709144481-3
AU,Art,3,170949327-0
Art,10-20 days,3,170949327-1
10-20 days,successful,3,170949327-2
successful,> 200%,3,170949327-3
CH,Technology,3,1709553176-0
Technology,> 50 days,3,1709553176-1
> 50 days,suspended,3,1709553176-2
suspended,< 10%,3,1709553176-3
DK,Photography,3,1710249002-0
Photography,20-30 days,3,1710249002-1
20-30 days,canceled,3,1710249002-2
canceled,< 10%,3,1710249002-3
MX,Technology,1,1710467081-0
Technology,40-50 days,1,1710467081-1
40-50 days,canceled,1,1710467081-2
canceled,50% - 100%,1,1710467081-3
SG,Design,1,1710850990-0
Design,30-50 days,1,1710850990-1
30-50 days,canceled,1,1710850990-2
canceled,50% - 100%,1,1710850990-3
US,Games,4,1711073488-0
Games,20-30 days,4,1711073488-1
20-30 days,suspended,4,1711073488-2
suspended,100% - 120%,4,1711073488-3
US,Art,2,1711217292-0
Art,> 50 days,2,1711217292-1
> 50 days,suspended,2,1711217292-2
suspended,10% - 25%,2,1711217292-3
CA,Technology,1,1711256490-0
Technology,30-50 days,1,1711256490-1
30-50 days,live,1,1711256490-2
live,100% - 120%,1,1711256490-3
US,Technology,1,171132418-0
Technology,< 10 days,1,171132418-1
< 10 days,suspended,1,171132418-2
suspended,100% - 120%,1,171132418-3
MX,Theater,2,1711440926-0
Theater,40-50 days,2,1711440926-1
40-50 days,canceled,2,1711440926-2
canceled,10% - 25%,2,1711440926-3
MX,Photography,1,1711466911-0
Photography,> 50 days,1,1711466911-1
> 50 days,failed,1,1711466911-2
failed,25% - 50%,1,1711466911-3
AT,Technology,2,1711522984-0
Technology,40-50 days,2,1711522984-1
40-50 days,failed,2,1711522984-2
failed,10% - 25%,2,1711522984-3
GB,Journalism,4,1711567484-0
Journalism,< 10 days,4,1711567484-1
< 10 days,successful,4,1711567484-2
successful,100% - 120%,4,1711567484-3
AU,Technology,2,1711791099-0
Technology,40-50 days,2,1711791099-1
40-50 days,canceled,2,1711791099-2
canceled,25% - 50%,2,1711791099-3
ES,Publishing,1,1711853143-0
Publishing,30-50 days,1,1711853143-1
30-50 days,failed,1,1711853143-2
failed,25% - 50%,1,1711853143-3
AU,Games,1,1711892668-0
Games,10-20 days,1,1711892668-1
10-20 days,live,1,1711892668-2
live,> 200%,1,1711892668-3
DE,Design,1,1711945620-0
Design,10-20 days,1,1711945620-1
10-20 days,successful,1,1711945620-2
successful,120% - 200%,1,1711945620-3
US,Technology,8,1712549010-0
Technology,< 10 days,8,1712549010-1
< 10 days,failed,8,1712549010-2
failed,25% - 50%,8,1712549010-3
SG,Fashion,2,1712627783-0
Fashion,10-20 days,2,1712627783-1
10-20 days,failed,2,1712627783-2
failed,50% - 100%,2,1712627783-3
CA,Design,1,1712919467-0
Design,40-50 days,1,1712919467-1
40-50 days,live,1,1712919467-2
live,10% - 25%,1,1712919467-3
US,Crafts,1,1712965180-0
Crafts,10-20 days,1,1712965180-1
10-20 days,live,1,1712965180-2
live,25% - 50%,1,1712965180-3
GB,Photography,2,1712983361-0
Photography,> 50 days,2,1712983361-1
> 50 days,failed,2,1712983361-2
failed,50% - 100%,2,1712983361-3
BE,Dance,1,1713375268-0
Dance,30-50 days,1,1713375268-1
30-50 days,successful,1,1713375268-2
successful,100% - 120%,1,1713375268-3
HK,Design,2,1713489620-0
Design,40-50 days,2,1713489620-1
40-50 days,failed,2,1713489620-2
failed,10% - 25%,2,1713489620-3
NL,Crafts,2,1713512585-0
Crafts,20-30 days,2,1713512585-1
20-30 days,successful,2,1713512585-2
successful,100% - 120%,2,1713512585-3
FR,Journalism,1,1713899409-0
Journalism,30-50 days,1,1713899409-1
30-50 days,successful,1,1713899409-2
successful,100% - 120%,1,1713899409-3
NL,Technology,1,1714095996-0
Technology,40-50 days,1,1714095996-1
40-50 days,live,1,1714095996-2
live,10% - 25%,1,1714095996-3
DE,Games,1,1714489423-0
Games,10-20 days,1,1714489423-1
10-20 days,canceled,1,1714489423-2
canceled,120% - 200%,1,1714489423-3
DK,Art,1,1715151867-0
Art,10-20 days,1,1715151867-1
10-20 days,suspended,1,1715151867-2
suspended,100% - 120%,1,1715151867-3
NZ,Design,3,1715231246-0
Design,40-50 days,3,1715231246-1
40-50 days,failed,3,1715231246-2
failed,10% - 25%,3,1715231246-3
FR,Fashion,1,1715386698-0
Fashion,30-50 days,1,1715386698-1
30-50 days,failed,1,1715386698-2
failed,50% - 100%,1,1715386698-3
DE,Film & Video,2,1716122271-0
Film & Video,20-30 days,2,1716122271-1
20-30 days,canceled,2,1716122271-2
canceled,10% - 25%,2,1716122271-3
NO,Design,1,1716174161-0
Design,< 10 days,1,1716174161-1
< 10 days,failed,1,1716174161-2
failed,< 10%,1,1716174161-3
GB,Art,1,1716437272-0
Art,10-20 days,1,1716437272-1
10-20 days,canceled,1,1716437272-2
canceled,10% - 25%,1,1716437272-3
CA,Publishing,4,171645330-0
Publishing,10-20 days,4,171645330-1
10-20 days,failed,4,171645330-2
failed,25% - 50%,4,171645330-3
US,Comics,1,1716521676-0
Comics,10-20 days,1,1716521676-1
10-20 days,live,1,1716521676-2
live,< 10%,1,1716521676-3
N,0",Music,3,1717036116-0
Music,40-50 days,3,1717036116-1
40-50 days,failed,3,1717036116-2
failed,< 10%,3,1717036116-3
NZ,Publishing,3,1717100410-0
Publishing,30-50 days,3,1717100410-1
30-50 days,successful,3,1717100410-2
successful,> 200%,3,1717100410-3
DE,Art,1,1717114634-0
Art,10-20 days,1,1717114634-1
10-20 days,successful,1,1717114634-2
successful,> 200%,1,1717114634-3
N,0",Design,1,1717130976-0
Design,20-30 days,1,1717130976-1
20-30 days,undefined,1,1717130976-2
undefined,10% - 25%,1,1717130976-3
AU,Food,5,1717269020-0
Food,30-50 days,5,1717269020-1
30-50 days,failed,5,1717269020-2
failed,10% - 25%,5,1717269020-3
AT,Photography,1,1717305994-0
Photography,30-50 days,1,1717305994-1
30-50 days,failed,1,1717305994-2
failed,< 10%,1,1717305994-3
AU,Photography,3,1717316547-0
Photography,20-30 days,3,1717316547-1
20-30 days,failed,3,1717316547-2
failed,50% - 100%,3,1717316547-3
FR,Journalism,1,1717402567-0
Journalism,40-50 days,1,1717402567-1
40-50 days,canceled,1,1717402567-2
canceled,< 10%,1,1717402567-3
NL,Food,1,1717443285-0
Food,> 50 days,1,1717443285-1
> 50 days,canceled,1,1717443285-2
canceled,10% - 25%,1,1717443285-3
SG,Design,5,1717560561-0
Design,40-50 days,5,1717560561-1
40-50 days,failed,5,1717560561-2
failed,< 10%,5,1717560561-3
GB,Comics,1,1717756444-0
Comics,30-50 days,1,1717756444-1
30-50 days,canceled,1,1717756444-2
canceled,50% - 100%,1,1717756444-3
DK,Fashion,3,1717770820-0
Fashion,30-50 days,3,1717770820-1
30-50 days,successful,3,1717770820-2
successful,> 200%,3,1717770820-3
ES,Film & Video,1,1718156020-0
Film & Video,< 10 days,1,1718156020-1
< 10 days,successful,1,1718156020-2
successful,120% - 200%,1,1718156020-3
DK,Design,1,1718334956-0
Design,30-50 days,1,1718334956-1
30-50 days,suspended,1,1718334956-2
suspended,> 200%,1,1718334956-3
BE,Film & Video,4,1718766475-0
Film & Video,> 50 days,4,1718766475-1
> 50 days,successful,4,1718766475-2
successful,100% - 120%,4,1718766475-3
CH,Theater,1,1719028549-0
Theater,40-50 days,1,1719028549-1
40-50 days,failed,1,1719028549-2
failed,< 10%,1,1719028549-3
US,Theater,3,1719114988-0
Theater,30-50 days,3,1719114988-1
30-50 days,live,3,1719114988-2
live,50% - 100%,3,1719114988-3
IE,Dance,1,1719185952-0
Dance,20-30 days,1,1719185952-1
20-30 days,failed,1,1719185952-2
failed,< 10%,1,1719185952-3
DE,Music,2,1719208759-0
Music,10-20 days,2,1719208759-1
10-20 days,successful,2,1719208759-2
successful,120% - 200%,2,1719208759-3
GB,Publishing,4,1719446700-0
Publishing,> 50 days,4,1719446700-1
> 50 days,live,4,1719446700-2
live,< 10%,4,1719446700-3
SG,Fashion,1,1720084424-0
Fashion,> 50 days,1,1720084424-1
> 50 days,failed,1,1720084424-2
failed,25% - 50%,1,1720084424-3
GB,Art,1,1721211434-0
Art,10-20 days,1,1721211434-1
10-20 days,canceled,1,1721211434-2
canceled,> 200%,1,1721211434-3
AU,Design,3,1721643537-0
Design,10-20 days,3,1721643537-1
10-20 days,failed,3,1721643537-2
failed,50% - 100%,3,1721643537-3
BE,Games,1,1721941336-0
Games,10-20 days,1,1721941336-1
10-20 days,successful,1,1721941336-2
successful,> 200%,1,1721941336-3
GB,Food,3,1722071611-0
Food,40-50 days,3,1722071611-1
40-50 days,successful,3,1722071611-2
successful,> 200%,3,1722071611-3
LU,Photography,1,172300414-0
Photography,20-30 days,1,172300414-1
20-30 days,successful,1,172300414-2
successful,> 200%,1,172300414-3
IE,Technology,3,1723105962-0
Technology,40-50 days,3,1723105962-1
40-50 days,failed,3,1723105962-2
failed,25% - 50%,3,1723105962-3
GB,Fashion,1,1723578724-0
Fashion,40-50 days,1,1723578724-1
40-50 days,live,1,1723578724-2
live,25% - 50%,1,1723578724-3
MX,Games,3,1723634291-0
Games,30-50 days,3,1723634291-1
30-50 days,canceled,3,1723634291-2
canceled,10% - 25%,3,1723634291-3
IT,Fashion,1,1723718078-0
Fashion,20-30 days,1,1723718078-1
20-30 days,suspended,1,1723718078-2
suspended,10% - 25%,1,1723718078-3
IT,Dance,2,1724268392-0
Dance,20-30 days,2,1724268392-1
20-30 days,successful,2,1724268392-2
successful,100% - 120%,2,1724268392-3
HK,Music,1,1725063106-0
Music,20-30 days,1,1725063106-1
20-30 days,failed,1,1725063106-2
failed,< 10%,1,1725063106-3
SG,Games,1,1725449834-0
Games,10-20 days,1,1725449834-1
10-20 days,successful,1,1725449834-2
successful,> 200%,1,1725449834-3
IE,Design,1,1725901341-0
Design,30-50 days,1,1725901341-1
30-50 days,successful,1,1725901341-2
successful,120% - 200%,1,1725901341-3
CA,Dance,2,1725982195-0
Dance,> 50 days,2,1725982195-1
> 50 days,failed,2,1725982195-2
failed,10% - 25%,2,1725982195-3
US,Music,1,1726302083-0
Music,< 10 days,1,1726302083-1
< 10 days,live,1,1726302083-2
live,< 10%,1,1726302083-3
GB,Dance,7,1726458367-0
Dance,30-50 days,7,1726458367-1
30-50 days,successful,7,1726458367-2
successful,120% - 200%,7,1726458367-3
DE,Art,2,1726588039-0
Art,30-50 days,2,1726588039-1
30-50 days,successful,2,1726588039-2
successful,120% - 200%,2,1726588039-3
AU,Journalism,2,172708703-0
Journalism,< 10 days,2,172708703-1
< 10 days,failed,2,172708703-2
failed,< 10%,2,172708703-3
SE,Technology,1,1727089495-0
Technology,20-30 days,1,1727089495-1
20-30 days,suspended,1,1727089495-2
suspended,< 10%,1,1727089495-3
NO,Fashion,1,1727171508-0
Fashion,> 50 days,1,1727171508-1
> 50 days,successful,1,1727171508-2
successful,100% - 120%,1,1727171508-3
SG,Film & Video,1,1727192069-0
Film & Video,20-30 days,1,1727192069-1
20-30 days,successful,1,1727192069-2
successful,100% - 120%,1,1727192069-3
GB,Food,4,1727206179-0
Food,< 10 days,4,1727206179-1
< 10 days,successful,4,1727206179-2
successful,100% - 120%,4,1727206179-3
IE,Games,4,1727617276-0
Games,30-50 days,4,1727617276-1
30-50 days,failed,4,1727617276-2
failed,< 10%,4,1727617276-3
MX,Fashion,1,1727793416-0
Fashion,40-50 days,1,1727793416-1
40-50 days,successful,1,1727793416-2
successful,120% - 200%,1,1727793416-3
DE,Games,2,1727935555-0
Games,20-30 days,2,1727935555-1
20-30 days,suspended,2,1727935555-2
suspended,< 10%,2,1727935555-3
US,Crafts,2,1727983528-0
Crafts,30-50 days,2,1727983528-1
30-50 days,canceled,2,1727983528-2
canceled,25% - 50%,2,1727983528-3
AU,Publishing,5,1728081496-0
Publishing,10-20 days,5,1728081496-1
10-20 days,successful,5,1728081496-2
successful,120% - 200%,5,1728081496-3
CH,Fashion,2,1728316869-0
Fashion,20-30 days,2,1728316869-1
20-30 days,successful,2,1728316869-2
successful,100% - 120%,2,1728316869-3
IT,Music,1,172837866-0
Music,40-50 days,1,172837866-1
40-50 days,failed,1,172837866-2
failed,10% - 25%,1,172837866-3
DE,Food,1,1728401371-0
Food,20-30 days,1,1728401371-1
20-30 days,suspended,1,1728401371-2
suspended,10% - 25%,1,1728401371-3
SE,Art,6,172871565-0
Art,> 50 days,6,172871565-1
> 50 days,failed,6,172871565-2
failed,< 10%,6,172871565-3
AU,Design,1,1728730683-0
Design,> 50 days,1,1728730683-1
> 50 days,suspended,1,1728730683-2
suspended,120% - 200%,1,1728730683-3
MX,Publishing,1,172905157-0
Publishing,30-50 days,1,172905157-1
30-50 days,live,1,172905157-2
live,< 10%,1,172905157-3
SE,Crafts,1,1729507692-0
Crafts,> 50 days,1,1729507692-1
> 50 days,successful,1,1729507692-2
successful,> 200%,1,1729507692-3
FR,Publishing,2,1729627949-0
Publishing,20-30 days,2,1729627949-1
20-30 days,live,2,1729627949-2
live,< 10%,2,1729627949-3
IE,Food,1,1729733207-0
Food,40-50 days,1,1729733207-1
40-50 days,failed,1,1729733207-2
failed,< 10%,1,1729733207-3
NL,Film & Video,1,17300272-0
Film & Video,> 50 days,1,17300272-1
> 50 days,failed,1,17300272-2
failed,25% - 50%,1,17300272-3
MX,Photography,1,1730069694-0
Photography,40-50 days,1,1730069694-1
40-50 days,successful,1,1730069694-2
successful,120% - 200%,1,1730069694-3
FR,Dance,1,1730125306-0
Dance,40-50 days,1,1730125306-1
40-50 days,failed,1,1730125306-2
failed,< 10%,1,1730125306-3
SG,Fashion,1,1730172851-0
Fashion,20-30 days,1,1730172851-1
20-30 days,canceled,1,1730172851-2
canceled,100% - 120%,1,1730172851-3
DK,Food,1,1730431157-0
Food,40-50 days,1,1730431157-1
40-50 days,canceled,1,1730431157-2
canceled,50% - 100%,1,1730431157-3
CH,Music,2,1730555979-0
Music,20-30 days,2,1730555979-1
20-30 days,failed,2,1730555979-2
failed,10% - 25%,2,1730555979-3
US,Design,1,1730719198-0
Design,10-20 days,1,1730719198-1
10-20 days,suspended,1,1730719198-2
suspended,25% - 50%,1,1730719198-3
CA,Crafts,2,1730808330-0
Crafts,< 10 days,2,1730808330-1
< 10 days,failed,2,1730808330-2
failed,< 10%,2,1730808330-3
CA,Film & Video,1,1731151116-0
Film & Video,10-20 days,1,1731151116-1
10-20 days,canceled,1,1731151116-2
canceled,> 200%,1,1731151116-3
US,Games,1,1731364029-0
Games,> 50 days,1,1731364029-1
> 50 days,canceled,1,1731364029-2
canceled,100% - 120%,1,1731364029-3
NZ,Technology,1,1731437371-0
Technology,40-50 days,1,1731437371-1
40-50 days,failed,1,1731437371-2
failed,10% - 25%,1,1731437371-3
AU,Technology,1,1731609854-0
Technology,10-20 days,1,1731609854-1
10-20 days,successful,1,1731609854-2
successful,120% - 200%,1,1731609854-3
AU,Fashion,2,1731907181-0
Fashion,< 10 days,2,1731907181-1
< 10 days,successful,2,1731907181-2
successful,120% - 200%,2,1731907181-3
SE,Music,2,1731936624-0
Music,> 50 days,2,1731936624-1
> 50 days,successful,2,1731936624-2
successful,120% - 200%,2,1731936624-3
IE,Journalism,2,1732398209-0
Journalism,> 50 days,2,1732398209-1
> 50 days,failed,2,1732398209-2
failed,< 10%,2,1732398209-3
NZ,Food,2,1732487427-0
Food,10-20 days,2,1732487427-1
10-20 days,failed,2,1732487427-2
failed,10% - 25%,2,1732487427-3
DK,Design,1,1732907453-0
Design,> 50 days,1,1732907453-1
> 50 days,canceled,1,1732907453-2
canceled,< 10%,1,1732907453-3
US,Art,3,1732996026-0
Art,30-50 days,3,1732996026-1
30-50 days,canceled,3,1732996026-2
canceled,50% - 100%,3,1732996026-3
HK,Fashion,1,173299926-0
Fashion,20-30 days,1,173299926-1
20-30 days,canceled,1,173299926-2
canceled,50% - 100%,1,173299926-3
NL,Technology,1,1733230028-0
Technology,40-50 days,1,1733230028-1
40-50 days,successful,1,1733230028-2
successful,120% - 200%,1,1733230028-3
FR,Theater,1,1733249075-0
Theater,30-50 days,1,1733249075-1
30-50 days,successful,1,1733249075-2
successful,100% - 120%,1,1733249075-3
US,Art,7,1733298131-0
Art,10-20 days,7,1733298131-1
10-20 days,suspended,7,1733298131-2
suspended,< 10%,7,1733298131-3
HK,Technology,2,1733437086-0
Technology,20-30 days,2,1733437086-1
20-30 days,live,2,1733437086-2
live,25% - 50%,2,1733437086-3
SG,Fashion,1,1733471016-0
Fashion,10-20 days,1,1733471016-1
10-20 days,successful,1,1733471016-2
successful,120% - 200%,1,1733471016-3
GB,Journalism,1,1733586374-0
Journalism,> 50 days,1,1733586374-1
> 50 days,failed,1,1733586374-2
failed,25% - 50%,1,1733586374-3
US,Comics,5,1733774701-0
Comics,20-30 days,5,1733774701-1
20-30 days,live,5,1733774701-2
live,50% - 100%,5,1733774701-3
GB,Dance,1,1734217693-0
Dance,40-50 days,1,1734217693-1
40-50 days,failed,1,1734217693-2
failed,25% - 50%,1,1734217693-3
CA,Games,5,1734347804-0
Games,> 50 days,5,1734347804-1
> 50 days,successful,5,1734347804-2
successful,100% - 120%,5,1734347804-3
AU,Design,3,1734349873-0
Design,< 10 days,3,1734349873-1
< 10 days,canceled,3,1734349873-2
canceled,< 10%,3,1734349873-3
IT,Design,3,1734579566-0
Design,> 50 days,3,1734579566-1
> 50 days,live,3,1734579566-2
live,< 10%,3,1734579566-3
NZ,Food,1,1734877889-0
Food,> 50 days,1,1734877889-1
> 50 days,canceled,1,1734877889-2
canceled,< 10%,1,1734877889-3
NL,Comics,4,1734915162-0
Comics,20-30 days,4,1734915162-1
20-30 days,successful,4,1734915162-2
successful,100% - 120%,4,1734915162-3
ES,Design,1,1735246439-0
Design,> 50 days,1,1735246439-1
> 50 days,canceled,1,1735246439-2
canceled,25% - 50%,1,1735246439-3
NL,Design,1,1735251729-0
Design,40-50 days,1,1735251729-1
40-50 days,live,1,1735251729-2
live,10% - 25%,1,1735251729-3
US,Design,6,1735281797-0
Design,40-50 days,6,1735281797-1
40-50 days,live,6,1735281797-2
live,120% - 200%,6,1735281797-3
BE,Design,1,1736061382-0
Design,< 10 days,1,1736061382-1
< 10 days,successful,1,1736061382-2
successful,100% - 120%,1,1736061382-3
NL,Games,2,1736289675-0
Games,10-20 days,2,1736289675-1
10-20 days,canceled,2,1736289675-2
canceled,50% - 100%,2,1736289675-3
IE,Music,2,1737155022-0
Music,40-50 days,2,1737155022-1
40-50 days,successful,2,1737155022-2
successful,100% - 120%,2,1737155022-3
NZ,Art,1,1737185542-0
Art,40-50 days,1,1737185542-1
40-50 days,successful,1,1737185542-2
successful,100% - 120%,1,1737185542-3
AT,Games,1,1737416839-0
Games,30-50 days,1,1737416839-1
30-50 days,successful,1,1737416839-2
successful,120% - 200%,1,1737416839-3
ES,Games,4,173764838-0
Games,30-50 days,4,173764838-1
30-50 days,canceled,4,173764838-2
canceled,50% - 100%,4,173764838-3
US,Comics,5,1738343125-0
Comics,< 10 days,5,1738343125-1
< 10 days,failed,5,1738343125-2
failed,25% - 50%,5,1738343125-3
DK,Games,1,173856674-0
Games,30-50 days,1,173856674-1
30-50 days,successful,1,173856674-2
successful,> 200%,1,173856674-3
DE,Crafts,8,1738567503-0
Crafts,20-30 days,8,1738567503-1
20-30 days,canceled,8,1738567503-2
canceled,< 10%,8,1738567503-3
BE,Games,1,1738639300-0
Games,20-30 days,1,1738639300-1
20-30 days,canceled,1,1738639300-2
canceled,25% - 50%,1,1738639300-3
DE,Technology,3,1738697414-0
Technology,40-50 days,3,1738697414-1
40-50 days,failed,3,1738697414-2
failed,10% - 25%,3,1738697414-3
ES,Photography,1,1738850722-0
Photography,< 10 days,1,1738850722-1
< 10 days,failed,1,1738850722-2
failed,< 10%,1,1738850722-3
CH,Technology,2,1739065074-0
Technology,20-30 days,2,1739065074-1
20-30 days,live,2,1739065074-2
live,10% - 25%,2,1739065074-3
CA,Crafts,3,1739433510-0
Crafts,40-50 days,3,1739433510-1
40-50 days,canceled,3,1739433510-2
canceled,< 10%,3,1739433510-3
SE,Publishing,4,1739484815-0
Publishing,> 50 days,4,1739484815-1
> 50 days,failed,4,1739484815-2
failed,10% - 25%,4,1739484815-3
CA,Design,1,1739740737-0
Design,30-50 days,1,1739740737-1
30-50 days,suspended,1,1739740737-2
suspended,120% - 200%,1,1739740737-3
NO,Music,2,1740083640-0
Music,20-30 days,2,1740083640-1
20-30 days,failed,2,1740083640-2
failed,25% - 50%,2,1740083640-3
FR,Crafts,1,1740138844-0
Crafts,30-50 days,1,1740138844-1
30-50 days,successful,1,1740138844-2
successful,100% - 120%,1,1740138844-3
MX,Music,1,1740159215-0
Music,10-20 days,1,1740159215-1
10-20 days,failed,1,1740159215-2
failed,10% - 25%,1,1740159215-3
IE,Design,1,1740277192-0
Design,> 50 days,1,1740277192-1
> 50 days,successful,1,1740277192-2
successful,100% - 120%,1,1740277192-3
DK,Comics,4,1740568770-0
Comics,20-30 days,4,1740568770-1
20-30 days,failed,4,1740568770-2
failed,< 10%,4,1740568770-3
CH,Journalism,1,174088964-0
Journalism,10-20 days,1,174088964-1
10-20 days,canceled,1,174088964-2
canceled,10% - 25%,1,174088964-3
DK,Food,2,1740948253-0
Food,20-30 days,2,1740948253-1
20-30 days,failed,2,1740948253-2
failed,10% - 25%,2,1740948253-3
NO,Design,6,1741086920-0
Design,20-30 days,6,1741086920-1
20-30 days,successful,6,1741086920-2
successful,> 200%,6,1741086920-3
ES,Design,5,1741411463-0
Design,> 50 days,5,1741411463-1
> 50 days,failed,5,1741411463-2
failed,< 10%,5,1741411463-3
CA,Publishing,3,1741582670-0
Publishing,40-50 days,3,1741582670-1
40-50 days,failed,3,1741582670-2
failed,50% - 100%,3,1741582670-3
CA,Publishing,3,1742463175-0
Publishing,< 10 days,3,1742463175-1
< 10 days,successful,3,1742463175-2
successful,> 200%,3,1742463175-3
HK,Games,1,1742727686-0
Games,20-30 days,1,1742727686-1
20-30 days,live,1,1742727686-2
live,100% - 120%,1,1742727686-3
CA,Design,1,1742910053-0
Design,> 50 days,1,1742910053-1
> 50 days,live,1,1742910053-2
live,25% - 50%,1,1742910053-3
US,Comics,7,1743232388-0
Comics,40-50 days,7,1743232388-1
40-50 days,canceled,7,1743232388-2
canceled,10% - 25%,7,1743232388-3
SE,Food,2,174380185-0
Food,20-30 days,2,174380185-1
20-30 days,failed,2,174380185-2
failed,10% - 25%,2,174380185-3
MX,Art,2,1743860827-0
Art,40-50 days,2,1743860827-1
40-50 days,successful,2,1743860827-2
successful,120% - 200%,2,1743860827-3
AU,Dance,2,1743860929-0
Dance,20-30 days,2,1743860929-1
20-30 days,canceled,2,1743860929-2
canceled,< 10%,2,1743860929-3
AU,Journalism,1,1743989755-0
Journalism,20-30 days,1,1743989755-1
20-30 days,failed,1,1743989755-2
failed,25% - 50%,1,1743989755-3
NZ,Music,1,1744109649-0
Music,10-20 days,1,1744109649-1
10-20 days,canceled,1,1744109649-2
canceled,50% - 100%,1,1744109649-3
SE,Photography,1,174421117-0
Photography,10-20 days,1,174421117-1
10-20 days,failed,1,174421117-2
failed,< 10%,1,174421117-3
JP,Technology,1,1744962577-0
Technology,20-30 days,1,1744962577-1
20-30 days,live,1,1744962577-2
live,50% - 100%,1,1744962577-3
AU,Crafts,1,1745258308-0
Crafts,40-50 days,1,1745258308-1
40-50 days,failed,1,1745258308-2
failed,25% - 50%,1,1745258308-3
IT,Fashion,1,174544621-0
Fashion,40-50 days,1,174544621-1
40-50 days,live,1,174544621-2
live,< 10%,1,174544621-3
ES,Art,2,1745563854-0
Art,20-30 days,2,1745563854-1
20-30 days,canceled,2,1745563854-2
canceled,10% - 25%,2,1745563854-3
MX,Crafts,2,1745935365-0
Crafts,> 50 days,2,1745935365-1
> 50 days,successful,2,1745935365-2
successful,100% - 120%,2,1745935365-3
CA,Dance,5,1746007506-0
Dance,10-20 days,5,1746007506-1
10-20 days,failed,5,1746007506-2
failed,< 10%,5,1746007506-3
DE,Games,2,1746585226-0
Games,20-30 days,2,1746585226-1
20-30 days,canceled,2,1746585226-2
canceled,50% - 100%,2,1746585226-3
CA,Food,1,1746682456-0
Food,> 50 days,1,1746682456-1
> 50 days,live,1,1746682456-2
live,< 10%,1,1746682456-3
NL,Games,4,1747172780-0
Games,10-20 days,4,1747172780-1
10-20 days,successful,4,1747172780-2
successful,120% - 200%,4,1747172780-3
IT,Journalism,1,1747245862-0
Journalism,40-50 days,1,1747245862-1
40-50 days,canceled,1,1747245862-2
canceled,< 10%,1,1747245862-3
FR,Fashion,1,1747274682-0
Fashion,> 50 days,1,1747274682-1
> 50 days,successful,1,1747274682-2
successful,120% - 200%,1,1747274682-3
AU,Fashion,5,1748254010-0
Fashion,40-50 days,5,1748254010-1
40-50 days,failed,5,1748254010-2
failed,10% - 25%,5,1748254010-3
NO,Music,1,1748370667-0
Music,20-30 days,1,1748370667-1
20-30 days,successful,1,1748370667-2
successful,> 200%,1,1748370667-3
DE,Fashion,2,1748438974-0
Fashion,20-30 days,2,1748438974-1
20-30 days,canceled,2,1748438974-2
canceled,10% - 25%,2,1748438974-3
AT,Technology,1,1749493519-0
Technology,> 50 days,1,1749493519-1
> 50 days,successful,1,1749493519-2
successful,100% - 120%,1,1749493519-3
SG,Crafts,1,1749716628-0
Crafts,30-50 days,1,1749716628-1
30-50 days,canceled,1,1749716628-2
