from,to,value,id
failed,< 10%,25,1000338818-3
US,Theater,457,1000339877-0
Theater,> 50 days,457,1000339877-1
> 50 days,failed,457,1000339877-2
failed,< 10%,457,1000339877-3
US,Music,1239,1000344383-0
Music,40-50 days,1239,1000344383-1
40-50 days,failed,1239,1000344383-2
failed,< 10%,1239,1000344383-3
IT,Games,42,1000348690-0
Games,20-30 days,42,1000348690-1
20-30 days,successful,42,1000348690-2
successful,> 200%,42,1000348690-3
US,Comics,66,1000348776-0
Comics,40-50 days,66,1000348776-1
40-50 days,failed,66,1000348776-2
failed,10% - 25%,66,1000348776-3
US,Theater,298,1000354338-0
Theater,40-50 days,298,1000354338-1
40-50 days,successful,298,1000354338-2
successful,100% - 120%,298,1000354338-3
US,Music,525,10003650-0
Music,> 50 days,525,10003650-1
> 50 days,canceled,525,10003650-2
canceled,< 10%,525,10003650-3
US,Music,1398,1000374001-0
Music,40-50 days,1398,1000374001-1
40-50 days,successful,1398,1000374001-2
successful,100% - 120%,1398,1000374001-3
US,Film & Video,854,1000389241-0
Film & Video,30-50 days,854,1000389241-1
30-50 days,successful,854,1000389241-2
successful,120% - 200%,854,1000389241-3
US,Food,1529,1000399155-0
Food,> 50 days,1529,1000399155-1
> 50 days,failed,1529,1000399155-2
failed,< 10%,1529,1000399155-3
US,Music,536,1000413719-0
Music,10-20 days,536,1000413719-1
10-20 days,successful,536,1000413719-2
successful,120% - 200%,536,1000413719-3
US,Publishing,3062,1000415969-0
Publishing,20-30 days,3062,1000415969-1
20-30 days,successful,3062,1000415969-2
successful,100% - 120%,3062,1000415969-3
CA,Technology,10,1000427280-0
Technology,30-50 days,10,1000427280-1
30-50 days,canceled,10,1000427280-2
canceled,10% - 25%,10,1000427280-3
US,Food,115,1000428719-0
Food,30-50 days,115,1000428719-1
30-50 days,successful,115,1000428719-2
successful,> 200%,115,1000428719-3
US,Fashion,161,1000445513-0
Fashion,40-50 days,161,1000445513-1
40-50 days,successful,161,1000445513-2
successful,100% - 120%,161,1000445513-3
US,Games,561,1000465399-0
Games,30-50 days,561,1000465399-1
30-50 days,successful,561,1000465399-2
successful,100% - 120%,561,1000465399-3
US,Technology,260,1000468345-0
Technology,30-50 days,260,1000468345-1
30-50 days,failed,260,1000468345-2
failed,10% - 25%,260,1000468345-3
US,Music,924,1000481607-0
Music,20-30 days,924,1000481607-1
20-30 days,failed,924,1000481607-2
failed,25% - 50%,924,1000481607-3
US,Art,2801,1000490852-0
Art,20-30 days,2801,1000490852-1
20-30 days,successful,2801,1000490852-2
successful,100% - 120%,2801,1000490852-3
US,Music,2730,1000491830-0
Music,> 50 days,2730,1000491830-1
> 50 days,failed,2730,1000491830-2
failed,< 10%,2730,1000491830-3
US,Publishing,2109,1000509854-0
Publishing,> 50 days,2109,1000509854-1
> 50 days,failed,2109,1000509854-2
failed,< 10%,2109,1000509854-3
US,Design,1005,1000514796-0
Design,30-50 days,1005,1000514796-1
30-50 days,failed,1005,1000514796-2
failed,< 10%,1005,1000514796-3
US,Dance,133,100051531-0
Dance,> 50 days,133,100051531-1
> 50 days,failed,133,100051531-2
failed,< 10%,133,100051531-3
